date,btc,eth,doge,ltc,bch,etc,dash
2018-01-13,90868820059.50842,51294242616.76144,498699721.0000592,6665793052.0346575,11275230209.473549,2257529987.1026654,2675045114.55504
2018-01-14,91004912381.48352,52397671368.26382,499442492.87490815,6663054573.056537,11314347053.626247,2329617242.5381184,2685854120.1415715
2018-01-15,91070016465.32016,52802756791.887695,492258389.008777,6664481430.857975,11337157226.47263,2299128178.2489467,2704315337.048858
2018-01-16,90589067573.52972,51414878888.0605,473176316.39827245,6602003786.29815,11181901224.193213,2046276614.2994068,2713970156.2192874
2018-01-17,90455041771.67744,50784865306.79538,476192984.09651744,6580772427.102205,11138247591.440947,2037524652.9642236,2711998659.021981
2018-01-18,90306893903.30627,50749022896.358635,475163488.5067214,6569199645.852847,11059734785.829672,2163529740.168951,2716878339.9417386
2018-01-19,90306880392.89632,50898255198.59917,475680415.17722726,6564870386.9849205,11067237767.589592,2194132212.227767,2721847114.0817776
2018-01-20,90562813405.586,51718315219.67554,477473133.2247984,6578836444.715965,11093670843.570944,2244187032.403559,2736762457.4768224
2018-01-21,90350093848.36472,51274625645.28641,472360870.66742593,6565729222.642725,11099824956.088198,2181996468.7923865,2737349520.2210116
2018-01-22,90179512463.67683,51062477905.16871,469964757.6465752,6541056294.684276,11078120260.173405,2142963317.294168,2740612643.7298975
2018-01-23,90010051474.37943,50375072419.14463,467855616.1269724,6542985724.975115,11042263711.685564,2123703978.7465456,2744393779.52296
2018-01-24,90042931935.20418,51223300728.947945,468223014.4700106,6540119120.000309,11032948280.611303,2152611482.5320406,2749920142.7068424
2018-01-25,90040462787.58347,51619680069.64545,470759241.52388626,6538473347.622914,11008547559.881289,2148687873.1423774,2753391931.6826606
2018-01-26,90241336635.52992,51852244370.54917,470177151.23656785,6537102605.720904,10971410722.630152,2151968473.207453,2767262143.214664
2018-01-27,90350534668.50023,52250288521.81667,470786609.67110574,6538754902.066139,10974628609.382698,2157166588.335736,2807297449.4581323
2018-01-28,90767348335.61967,53663396661.21717,471170862.99543893,6544421080.271122,10848178553.74282,2214815876.282799,2823218262.689527
